,name,student_body,median_parent_income,median_child_income,cost_of_attendance,pell_aid_per_student,institutional_grant_aid_avg,debt_median,student_income_10_years_median,clusters,cluster
3307,University of Science and Arts of Oklahoma,845.0,59400,28400,14731.0,1927.962,4366.4,9750.0,32000.0,0,light pink
3308,University of Scranton,3909.0,120200,60000,53567.0,783.9302,15669.57,26503.5,57500.0,3,dark purple
3309,University of Sioux Falls,1082.0,78600,42600,35298.0,1123.45,11109.55,13982.5,40100.0,1,pink
3310,University of South Alabama,11267.0,76700,36700,18525.0,1530.305,3089.83,11750.0,37800.0,2,purple
3311,University of South Carolina-Sumter,729.0,85400,39600,16530.0,1539.747,1957.5,6250.0,34300.0,2,purple
3312,University of South Carolina-Columbia,24623.0,85400,39600,24586.0,995.2675,2865.56,18064.0,44900.0,1,pink
3313,University of South Carolina-Lancaster,963.0,85400,39600,16181.0,1275.748,1090.76,18064.0,44900.0,2,purple
3314,University of South Carolina-Aiken,3023.0,85400,39600,19759.0,1726.795,2560.4,12500.0,37100.0,2,purple
3315,University of South Carolina-Beaufort,1790.0,85400,39600,20389.0,1622.854,2373.8,9500.0,36800.0,2,purple
3316,University of South Carolina-Salkehatchie,723.0,85400,39600,18291.0,2188.879,1338.75,5500.0,26600.0,2,purple
3317,University of South Carolina-Union,294.0,85400,39600,16896.0,2142.158,2412.48,5500.0,32800.0,2,purple
3318,University of South Carolina-Upstate,5056.0,85400,39600,21759.0,2029.151,2897.31,13500.0,36900.0,2,purple
3319,Black Hills State University,2910.0,71600,39600,17034.0,1436.708,806.66,11250.0,35900.0,2,purple
3320,Dakota State University,1770.0,71600,39600,17913.0,847.7288,541.88,10316.0,38700.0,2,purple
3321,Northern State University,1693.0,71600,39600,18137.0,900.7469,866.8,11250.0,35300.0,2,purple
3322,South Dakota School of Mines and Technology,2336.0,71600,39600,20994.0,1010.214,1686.4,12000.0,56500.0,2,purple
3323,South Dakota State University,10003.0,71600,39600,19330.0,1033.685,1224.38,14250.0,44400.0,2,purple
3324,University of South Dakota,6331.0,71600,39600,19695.0,1119.44,1439.88,13835.0,42000.0,2,purple
3325,University of South Florida-Main Campus,30279.0,80500,42400,19306.0,1749.1760000000002,3159.44,14809.0,43500.0,2,purple
3326,University of South Florida-St Petersburg,3829.0,80500,42400,18325.0,1590.76,1779.2,14809.0,43500.0,2,purple
3327,University of South Florida-Sarasota-Manatee,1690.0,80500,42400,13925.0,1547.6660000000002,0.0,14809.0,43500.0,2,purple
3328,University of Southern California,18392.0,120100,63700,62092.0,1000.632,16593.68,21795.0,74000.0,3,dark purple
3329,University of Southern Indiana,8233.0,83700,35400,18469.0,1226.967,1730.12,12000.0,37000.0,2,purple
3330,University of Southern Mississippi,11939.0,76700,37200,19493.0,1946.904,5261.88,13750.0,36400.0,2,purple
3331,The University of Tampa,6811.0,92900,44700,38635.0,1022.024,7767.52,16000.0,48600.0,1,pink
3332,The University of Tennessee-Chattanooga,10213.0,99200,42000,19619.0,1412.91,2865.56,10738.0,38100.0,1,pink
3333,The University of Tennessee-Knoxville,21396.0,99200,42000,27450.0,1230.306,3069.64,13500.0,45100.0,1,pink
3334,The University of Tennessee-Martin,6387.0,99200,42000,16805.0,2039.034,2131.42,12899.0,36200.0,1,pink
3335,The University of Texas Rio Grande Valley,17811.0,31700,39300,11963.0,2720.63,1884.0,7071.0,41900.0,0,light pink
3336,The University of Texas at Arlington,29616.0,83600,46500,21594.0,1538.771,2888.96,10500.0,48700.0,1,pink
3337,The University of Texas at Austin,38914.0,125100,57900,25918.0,1208.083,2949.12,19343.5,58200.0,3,dark purple
3338,Texas Southmost College,9973.0,26400,29800,13619.0,2163.42,1677.1,9012.0,33200.0,0,light pink
3339,The University of Texas at Dallas,14300.0,100800,57100,22713.0,1351.444,6952.59,12901.0,53100.0,1,pink
3340,The University of Texas at El Paso,19614.0,42400,38400,15067.0,2686.505,1382.88,9500.0,40000.0,0,light pink
3341,The University of Texas at San Antonio,23815.0,74300,43000,19054.0,1804.281,1506.16,14000.0,45300.0,2,purple
3342,The University of Texas at Tyler,5550.0,80500,40600,19552.0,1512.777,2377.7,11188.0,44200.0,2,purple
3343,The University of Texas of the Permian Basin,3311.0,64200,43300,13939.0,858.6156,1769.61,6750.0,46100.0,2,purple
3344,The University of the Arts,1726.0,100600,28700,53508.0,1366.697,14731.68,23265.5,32600.0,1,pink
3346,University of the Cumberlands,1844.0,67000,36000,33107.0,1795.364,6936.0,7555.0,35100.0,2,purple
3347,University of the District of Columbia,4253.0,40000,30100,21149.0,1750.866,8883.86,8250.0,35200.0,0,light pink
3349,University of the Incarnate Word,6325.0,69900,40200,35799.0,1709.161,8874.06,17750.0,46500.0,1,pink
3350,University of the Ozarks,579.0,72600,40300,35438.0,1679.594,12255.54,12000.0,33900.0,2,purple
3351,University of the Pacific,3802.0,96500,59000,54032.0,1751.215,13215.3,21500.0,71700.0,1,pink
