,median_graduate_income,median_parent_income
870,18500.0,55300
871,18500.0,55300
872,18500.0,55300
873,18500.0,55300
874,18500.0,55300
875,18500.0,55300
876,18500.0,55300
877,18500.0,55300
878,18500.0,55300
879,18500.0,55300
880,17300.0,43000
881,17300.0,43000
882,17300.0,43000
883,17300.0,43000
884,17300.0,43000
885,17300.0,43000
886,17300.0,43000
887,17300.0,43000
888,17300.0,43000
889,17300.0,43000
890,16500.0,76000
891,16500.0,76000
892,16500.0,76000
893,16500.0,76000
894,16500.0,76000
895,16500.0,76000
896,16500.0,76000
897,16500.0,76000
898,16500.0,76000
899,16500.0,76000
900,16500.0,76000
901,18200.0,52200
902,18200.0,52200
903,18200.0,52200
904,18200.0,52200
905,18200.0,52200
906,18200.0,52200
907,18200.0,52200
908,18200.0,52200
909,18200.0,52200
910,18200.0,52200
911,18200.0,52200
912,18200.0,52200
913,18200.0,52200
914,18200.0,52200
915,18200.0,52200
916,19500.0,53500
917,19500.0,53500
918,37100.0,80100
919,51100.0,108400
920,31800.0,59300
921,33500.0,72400
922,37400.0,94700
923,30100.0,43000
924,36000.0,76500
925,35800.0,73800
926,35800.0,73800
927,34200.0,82100
928,33200.0,100200
929,72100.0,151500
930,48100.0,87000
931,48100.0,87000
932,37200.0,76300
933,37200.0,76300
934,37200.0,76300
935,37200.0,76300
936,48900.0,79800
937,35400.0,63500
938,31200.0,41400
939,26000.0,51600
940,29100.0,66000
941,47300.0,73300
942,44500.0,82500
943,37300.0,71100
944,30700.0,69100
945,30700.0,69100
946,34900.0,55800
947,45700.0,89500
948,38900.0,100900
949,38900.0,100900
950,28200.0,55700
951,25800.0,43900
952,37600.0,57000
953,43200.0,77100
954,39100.0,85500
955,24700.0,57300
956,24700.0,57300
957,24700.0,57300
958,24700.0,57300
959,29500.0,52900
960,42100.0,78900
961,56600.0,86300
962,56600.0,86300
963,46300.0,66700
964,27600.0,33400
965,41400.0,85400
966,31900.0,66600
967,46400.0,100500
968,24600.0,39200
969,40800.0,88800
970,46500.0,80200
971,41700.0,80200
972,59200.0,113300
973,26300.0,67300
974,38200.0,71100
975,35200.0,90600
976,31100.0,49800
977,30700.0,49800
978,31800.0,56800
979,30900.0,45100
980,27100.0,27900
981,27100.0,27900
982,22900.0,35100
983,22900.0,35100
984,22900.0,35100
985,22900.0,35100
986,25800.0,50000
987,25800.0,50000
988,25800.0,50000
989,26000.0,33200
990,26000.0,33200
991,26000.0,33200
992,33500.0,70500
993,36100.0,74600
994,33100.0,68500
995,32000.0,57900
996,37700.0,102500
997,58900.0,162900
998,17800.0,25100
999,17800.0,25100
1000,44100.0,85300
1001,39700.0,86300
1002,48500.0,65800
1003,36000.0,90900
1004,37100.0,77500
1005,43900.0,71100
1006,41800.0,82200
1007,39300.0,80400
1008,51200.0,156700
1009,26700.0,52000
1010,31000.0,71200
1011,32500.0,45600
1012,32500.0,45600
1013,48100.0,83300
1014,31500.0,58000
1015,38700.0,84800
1016,27400.0,53800
1017,25900.0,63100
1018,25900.0,63100
1019,32800.0,68300
1020,30100.0,73100
1021,30400.0,80500
1022,26500.0,75600
1023,26500.0,75600
1024,30800.0,64400
1025,38700.0,77800
1026,24700.0,53600
1027,32200.0,58500
1028,45100.0,89000
1029,59900.0,107500
1030,69600.0,137300
1031,43000.0,93600
1032,93500.0,195100
1033,40500.0,95100
1034,34700.0,76000
1035,79100.0,126000
1036,31400.0,62000
1037,34300.0,68800
1038,26100.0,47200
1039,41900.0,88100
1040,36400.0,73400
1041,43300.0,82200
1042,44400.0,83300
1043,30500.0,84600
1044,56100.0,138500
1045,28900.0,33200
1046,28900.0,33200
1047,33200.0,40100
1048,33800.0,55900
1049,30300.0,72300
1050,30300.0,72300
1051,30300.0,72300
1052,30300.0,72300
1053,30300.0,72300
1054,30300.0,72300
1055,30300.0,72300
1056,30300.0,72300
1057,30300.0,72300
1058,30300.0,72300
1059,28500.0,62200
1060,44500.0,80300
1061,56100.0,121100
1062,41700.0,95900
1063,31200.0,74100
1064,37700.0,86900
1065,48900.0,106300
1066,34900.0,73100
1067,36200.0,77200
1068,36200.0,77200
1069,28100.0,34300
1070,52700.0,90000
1071,31300.0,83400
1072,42800.0,96400
1073,43200.0,71800
1074,27800.0,58600
1075,32600.0,66900
1076,31300.0,77300
1077,31100.0,54300
1078,30300.0,93200
1079,38100.0,90200
1080,32300.0,69100
1081,36900.0,95400
1082,36800.0,80000
1083,31500.0,64600
1084,49100.0,126400
1085,34000.0,77400
1086,29000.0,77400
1087,36400.0,109900
1088,27200.0,63000
1089,29700.0,56700
1090,51700.0,114000
1091,33600.0,80600
1092,54300.0,94700
1093,23100.0,34500
1094,33700.0,71500
1095,24100.0,29900
1096,32600.0,42400
1097,60200.0,164600
1098,49200.0,94300
1099,52200.0,141200
1100,34500.0,119300
1101,44700.0,79500
1102,34300.0,71800
1103,46400.0,107800
1104,45100.0,81800
1105,43300.0,91700
1106,40900.0,98200
1107,40900.0,98200
1108,32600.0,90200
1109,37300.0,88900
1110,36300.0,89100
1111,26700.0,45200
1112,34900.0,72200
1113,34900.0,72200
1114,34900.0,72200
1115,34900.0,72200
1116,34900.0,72200
1117,32100.0,51800
1118,45800.0,94400
1119,89700.0,174000
1120,88800.0,139800
1121,44400.0,82700
1122,60700.0,174200
1123,49900.0,68600
1124,36100.0,67600
1125,25400.0,53700
1126,34500.0,52400
1127,34500.0,52400
1128,34500.0,52400
1129,34500.0,52400
1130,34500.0,52400
1131,34500.0,52400
1132,34500.0,52400
1133,34500.0,52400
1134,34500.0,52400
1135,34500.0,52400
1136,34500.0,52400
1137,34500.0,52400
1138,26600.0,80700
1139,39300.0,80000
1140,36900.0,57900
1141,35700.0,63900
1142,39700.0,107500
1143,31400.0,76600
1144,23800.0,53400
1145,23800.0,53400
1146,23800.0,53400
1147,23800.0,53400
1148,31400.0,57400
1149,37800.0,65400
1150,37800.0,65400
1151,37800.0,65400
1152,37800.0,65400
1153,37800.0,65400
1154,37800.0,65400
1155,37800.0,65400
1156,37800.0,65400
1157,37800.0,65400
1158,37800.0,65400
1159,37800.0,65400
1160,41000.0,66600
1161,33600.0,63700
1162,39000.0,86100
1163,26800.0,62700
1164,31800.0,66000
1165,36900.0,76500
1166,42600.0,66300
1167,29000.0,58200
1168,33300.0,63700
1169,26600.0,43200
1170,42700.0,78900
1171,53500.0,120400
1172,29700.0,63600
1173,37100.0,38300
1174,53100.0,105300
1175,31100.0,41700
1176,35400.0,110700
1177,28300.0,41500
1178,52700.0,83200
1179,31200.0,71500
1180,45300.0,92600
1181,46200.0,114100
1182,25800.0,51000
1183,37400.0,85300
1184,29900.0,62300
1185,45800.0,93400
1186,33600.0,49200
1187,38600.0,99100
1188,30600.0,53100
1189,30600.0,53100
1190,37600.0,69200
1191,49200.0,76900
1192,28700.0,32600
1193,37100.0,74200
1194,36600.0,96000
1195,39900.0,87200
1196,36200.0,81400
1197,38800.0,60900
1198,33800.0,67700
1199,26700.0,53200
1200,51300.0,56000
1201,39400.0,52600
1202,39400.0,52600
1203,39400.0,52600
1204,39400.0,52600
1205,39400.0,52600
1206,39400.0,52600
1207,39400.0,52600
1208,39400.0,52600
1209,39400.0,52600
1210,39400.0,52600
1211,39400.0,52600
1212,39400.0,52600
1213,39400.0,52600
1214,39400.0,52600
1215,39400.0,52600
1216,39400.0,52600
1217,39400.0,52600
1218,39400.0,52600
1219,39400.0,52600
1220,39400.0,52600
1221,39400.0,52600
1222,39400.0,52600
1223,39400.0,52600
1224,39400.0,52600
1225,39400.0,52600
1226,39400.0,52600
1227,39400.0,52600
1228,39400.0,52600
1229,39400.0,52600
1230,39400.0,52600
1231,39400.0,52600
1232,39400.0,52600
1233,39400.0,52600
1234,39400.0,52600
1235,39400.0,52600
1236,39400.0,52600
1237,39400.0,52600
1238,39400.0,52600
1239,39400.0,52600
1240,39400.0,52600
1241,39400.0,52600
1242,39400.0,52600
1243,39400.0,52600
1244,39400.0,52600
1245,39400.0,52600
1246,39400.0,52600
1247,39400.0,52600
1248,39400.0,52600
1249,39400.0,52600
1250,39400.0,52600
1251,39400.0,52600
1252,39400.0,52600
1253,39400.0,52600
1254,39400.0,52600
